k,n,el_str,total_coe,rep_coe,reference,order,composition,rep_linear,307,Unnamed: 9
11,10.0,4 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{10}\bar{\nu}_{13}=\bar{\nu}_{10}\nu_{18} \ (=0)",0.0,\nu10\bar{\nu}13,0,,
11,10.0,11 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_{10}\bar{\nu}_{13}=\bar{\nu}_{10}\nu_{18} \ (=0)",0.0,\bar{\nu}10\nu18,0,,
12,3.0,2 3 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.7, \ E (\eta_2\nu')=0",0.0,\eta3E\nu'\bar{\nu}7,0,,
12,3.0,2 3 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.7, \ E (\eta_2\nu')=0",0.0,\eta3E\nu'\varepsilon7,0,,
12,6.0,4 12,1.0,8 0 0 0 0 0 0 0 0 0 0 0,"(7.25), \ 8\Delta(\sigma_{13})=\nu_6\mu_9",2.0,\nu6\mu9,8\Delta(\sigma13),,
12,14.0,21,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p81, \ E (E \theta)=0",0.0,E^2\theta,0,,
12,13.0,20,1.0,0 0 0 0 0 0 0 0 0 0 0 0,E ^2\theta'=0,0.0,E^2\theta',0,,
12,7.0,2 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_7\zeta_8=\zeta_7\eta_{18}",0.0,\eta7\zeta8,0,,
12,7.0,4 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_7\mu_{10}=\mu_7\nu_{16}",0.0,\nu7\mu10,0,,
12,5.0,2 16,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.7), \ \eta_5\zeta_6=0",0.0,\eta5\zeta6,0,,
12,12.0,106,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.1), \ A_1\equiv \theta \mod E \theta'",2.0,A_{1},\theta,,
12,11.0,122,1.0,1 0 0 0 0 0 0 0 0 0 0 0,C_1=\theta',2.0,C_{1},\theta',,
12,5.0,16 2,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.2(1), \ {\zeta_{5}}{\eta_{16}} \equiv {\nu_{5}}{\mu_{8}} \mod {\nu_{5}^{4}},{\nu_{5}}{\eta_{8}}{\varepsilon_{9}}",2.0,{\zeta_{5}}{\eta_{16}},{\nu_{5}^{4}} + {\nu_{5}}{\mu_{8}} + {\nu_{5}}{\eta_{8}}{\varepsilon_{9}},,
12,3.0,12 4,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop2.3(1), \ {\mu_{3}}{\nu_{12}} = {\nu'}{\eta_{6}}{\varepsilon_{7}}",2.0,{\mu_{3}}{\nu_{12}},{\nu'}{\eta_{6}}{\varepsilon_{7}},,
13,3.0,2 3 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.7, \ E (\eta_2\nu')=0",0.0,\eta3E\nu'\mu7,0,,
13,3.0,2 3 2 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.7, \ E (\eta_2\nu')=0",0.0,\eta3E\nu'\eta7\varepsilon8,0,,
14,5.0,10 4 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(7.13), \ \Delta(\bar{\nu}_9)=\varepsilon_4\nu_{12}",0.0,\varepsilon5\nu13^2,0,,
14,6.0,4 16,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(10.7), \ \nu_6\zeta_9=2\sigma''\sigma_{13}",2.0,\nu6\zeta9,2\sigma''\sigma13,,
14,6.0,4 11 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p100, \ \Delta(\sigma_{11}\nu_{18})=\nu_5\bar{\nu}_8\nu_{16}",0.0,\nu6\bar{\nu}9\nu17,0,,
14,7.0,7 9,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem5.14, \ E \sigma''=2\sigma'",4.0,E\sigma''\sigma14,2\sigma'\sigma14,,
14,7.0,11 4 4,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"[MT] (15.5), \ 2\kappa_7=\bar{\nu}_7\nu_{15}^2",2.0,\bar{\nu}7\nu15\nu18,2\kappa7,,
14,9.0,8 9,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(5.16), \ \Delta(\iota_{17})=\pm (2\sigma_8-E \sigma')",8.0,E^2\sigma'\sigma16,2\sigma9^2,,
14,9.0,4 16,1.0,8 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_9\zeta_{12}=\zeta_9\nu_{20} \  (=8\sigma_{9}^2)",2.0,\nu9\zeta12,8\sigma9^2,,
14,9.0,16 4,1.0,8 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \nu_9\zeta_{12}=\zeta_9\nu_{20} \  (=8\sigma_{9}^2)",2.0,\zeta9\nu20,8\sigma9^2,,
14,7.0,11 4 4,1.0,0 2 0 0 0 0 0 0 0 0 0 0,"[MT] (15.5), \ 2\kappa_7=\bar{\nu}_7\nu_{15}^2",2.0,\bar{\nu}7\nu15^2,2\kappa7,,
14,12.0,106 2 2,1.0,8 0 2 0 0 0 0 0 0 0 0 0,"[O3] Prop2.3(2), \ {A_{1}}{\eta_{24}^{2}} = 8{\sigma_{12}^{2}} + 2{\Delta(\nu_{25})}",2.0,{A_{1}}{\eta_{24}^{2}},8{\sigma_{12}^{2}} + 2{\Delta(\nu_{25})},,
15,3.0,2 10 4 4,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p104, \ E (\eta_2\varepsilon_3\nu_{11}^2)=0",0.0,\eta3\varepsilon4\nu12^2,0,,
15,6.0,26,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(10.15), \ E \rho^{IV}=2\rho'''",2.0,E\rho^{IV},2\rho''',,
15,7.0,27,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"(10.16), \ E \rho'''=2\rho''",4.0,E\rho''',2\rho'',,
15,9.0,28,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem10.6, \ E ^2\rho''\equiv 2\rho' \mod\{\sigma_9\bar{\nu}_{16}\}+\{\sigma_9\varepsilon_{16}\}",8.0,E^2\rho'',2\rho',,
15,9.0,8 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.14, \ E ^2\sigma'=2\sigma_9",0.0,E^2\sigma'\bar{\nu}16,0,,
15,9.0,8 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem5.14, \ E ^2\sigma'=2\sigma_9",0.0,E^2\sigma'\varepsilon16,0,,
15,10.0,9 10,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"(10.18), \ \sigma_{10}\bar{\nu}_{17}=\sigma_{10}\varepsilon_{17}",2.0,\sigma10\varepsilon17,\sigma10\bar{\nu}17,,
15,11.0,9 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"(10.18), \ E (\sigma_{10}\bar{\nu}_{17})=0",0.0,\sigma11\bar{\nu}18,0,,
15,13.0,29,1.0,2 0 0 0 0 0 0 0 0 0 0 0,"Lem10.9, \ 2\rho_{13}=E ^4\rho'",16.0,E^4\rho',2\rho13,,
15,3.0,10 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem10.7, \ \varepsilon_3\sigma_{11}=0",0.0,\varepsilon3\sigma11,0,,
15,6.0,11 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Lem10.7, \ \bar{\nu}_6\sigma_{14}=0",0.0,\bar{\nu}6\sigma14,0,,
15,11.0,9 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{11}\varepsilon_{18}=\varepsilon_{11}\sigma_{19} \ (=0)",0.0,\sigma11\varepsilon18,0,,
15,6.0,2 23,1.0,0 1 0 0 0 0 0 0 0 0 0 0,"(10.23), \ \eta_6\kappa_7=\bar{\varepsilon}_6",2.0,\eta6\kappa7,\bar{\varepsilon}6,,
15,9.0,23 2,1.0,0 0 0 1 0 0 0 0 0 0 0 0,"[MT] (15.3), \ \kappa_9\eta_{23}=\bar{\varepsilon}_9",2.0,\kappa9\eta23,\bar{\varepsilon}9,,
15,9.0,2 23,1.0,0 0 0 1 0 0 0 0 0 0 0 0,"Prop3.1, \ \eta_9\kappa_{10}=\kappa_9\eta_{23} \ (=\bar{\varepsilon}_9)",2.0,\eta9\kappa10,\bar{\varepsilon}9,,
15,14.0,9 11,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{14}\bar{\nu}_{21}=\bar{\nu}_{14}\sigma_{22} \ (=0)",0.0,\sigma14\bar{\nu}21,0,,
15,11.0,10 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{11}\varepsilon_{18}=\varepsilon_{11}\sigma_{19} \ (=0)",0.0,\varepsilon11\sigma19,0,,
15,14.0,11 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"Prop3.1, \ \sigma_{14}\bar{\nu}_{21}=\bar{\nu}_{14}\sigma_{22} \ (=0)",0.0,\bar{\nu}14\sigma22,0,,
15,6.0,7 10,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p135, \ \sigma''\varepsilon_{13}=0",0.0,\sigma''\varepsilon13,0,,
15,7.0,23 2,1.0,0 1 0 1 0 0 0 0 0 0 0 0,"[MT] (15.3)', \  \kappa_7\eta_{21}=\sigma'\bar{\nu}_{14}+\bar{\varepsilon}_7",2.0,\kappa7\eta21,\sigma'\bar{\nu}14+\bar{\varepsilon}7,,
15,10.0,9 9 2,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[MMO] (2.3), \  \sigma_{10}^2\eta_{24}=0",0.0,\sigma10^2\eta24,0,,
15,6.0,2 8 9,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop3.1(1), \  \eta_6\sigma'\sigma_{14}=0",0.0,\eta6\sigma'\sigma14,0,,
15,9.0,208,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.5), \  \alpha_{1}^{IV}=\rho'",16.0,\alpha1^{IV},\rho',,
15,7.0,209,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.5), \  \alpha_{1}{'''}=\rho''",8.0,\alpha1''',\rho'',,
15,6.0,210,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.5), \  \alpha_{1}{''}=\rho'''",4.0,\alpha1'',\rho''',,
15,5.0,211,1.0,1 0 0 0 0 0 0 0 0 0 0 0,"[O] (2.5), \  \alpha_{1}{'}=\rho^{IV}",2.0,\alpha1',\rho^{IV},,
16,9.0,8 12,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p142, \ \Delta(\mu_{17})=E \sigma'\mu_{15}",0.0,E^2\sigma'\mu16,0,,
16,9.0,32,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p142, \ \Delta(\eta_{17}\varepsilon_{18})=E^2\zeta'",0.0,E^3\zeta',0,,
16,9.0,2 25,1.0,0 0 0 0 0 0 0 0 0 0 0 0,"p142, \ \Delta(\nu_{17}^3)=\eta_8\bar{\varepsilon}_9",0.0,\eta9\bar{\varepsilon}10,0,,
